GeneID	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15	Sample_16	Sample_17	Sample_18	Sample_19	Sample_20	Sample_21	Sample_22	Sample_23	Sample_24
ENSMUSG00000090025	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051951	0	0	0	184	10	0	0	0	1	0	1	21	14	0	100	15	0	0	0	0	0	1	15	39
ENSMUSG00000089699	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025900	0	0	0	0	0	2	0	0	6	0	0	0	0	0	0	0	9	0	0	7	0	0	0	12
ENSMUSG00000025902	4	2	1	4	0	33	12	0	37	1	9	87	5	0	20	1	25	33	0	44	5	40	131	66
ENSMUSG00000064376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000033845	119	116	98	76	94	109	42	50	37	31	113	83	133	26	56	103	186	101	71	57	62	131	116	433
ENSMUSG00000025903	2374	3599	1582	853	4058	834	2739	582	160	131	501	2665	2360	197	798	3973	1384	5635	401	322	474	1766	3281	3438
ENSMUSG00000033813	239	236	130	662	629	188	292	69	107	23	252	676	677	33	481	726	234	567	60	167	77	675	757	850
ENSMUSG00000062588	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	8	0	0	0	0	0	0	0	0
ENSMUSG00000002459	2	1	0	162	0	0	0	0	7	0	0	2	52	0	79	7	7	0	0	1	0	0	5	78
ENSMUSG00000085623	6	10	1	5	14	0	11	1	2	3	7	16	51	1	5	22	17	15	3	4	4	9	16	145
ENSMUSG00000033793	172	159	110	1197	479	114	358	42	69	9	371	664	393	22	877	391	244	771	43	163	22	727	1094	805
ENSMUSG00000025905	0	0	0	49	17	0	0	0	0	0	0	0	0	0	33	19	0	0	0	0	0	0	0	0
ENSMUSG00000033774	0	0	0	8	0	0	0	0	0	0	0	0	9	0	3	0	0	0	0	1	0	0	0	46
ENSMUSG00000025907	171	235	84	655	1122	255	248	44	93	52	128	509	1491	11	441	1323	429	525	20	136	108	524	791	2824
ENSMUSG00000090031	1	0	0	1	1	2	0	0	2	0	0	0	2	0	0	0	0	1	0	1	1	2	5	4
ENSMUSG00000087247	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000033740	0	0	0	123	4	0	0	0	1	0	1	0	6	0	145	10	2	0	0	2	0	0	6	3
ENSMUSG00000051285	1168	1793	711	2085	2074	783	738	295	186	83	306	2939	2960	63	1929	2113	1259	1443	137	353	295	2091	3956	4892
ENSMUSG00000048538	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086461	0	2	0	5	1	2	0	1	4	0	1	2	5	0	1	1	2	1	0	1	1	8	4	6
ENSMUSG00000025909	1	0	0	91	2	0	3	1	0	0	0	76	1	0	80	7	1	2	1	9	0	6	10	27
ENSMUSG00000066693	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000061024	23	52	27	97	85	63	47	28	18	13	249	143	261	3	57	94	94	123	5	45	34	394	128	402
ENSMUSG00000025911	227	279	147	76	14	168	438	110	23	23	60	839	141	28	46	12	286	992	70	58	79	109	1143	398
ENSMUSG00000079671	0	1	0	0	1	6	6	2	2	1	4	12	13	0	0	0	7	2	0	2	1	5	29	31
ENSMUSG00000067879	0	1	0	1305	3	1	4	1	1	0	0	0	0	0	814	4	1	2	0	0	0	2	0	0
ENSMUSG00000025912	4	14	0	48	13	3	9	0	4	0	3	6	23	0	19	17	3	9	1	7	0	18	9	81
ENSMUSG00000045210	214	249	160	869	967	152	159	61	54	7	182	739	727	13	570	946	270	360	24	88	41	824	776	940
ENSMUSG00000085661	3	1	3	0	4	1	5	3	6	2	0	3	7	1	0	5	3	6	1	8	0	7	4	12
ENSMUSG00000025915	34	47	25	70	45	52	88	10	21	2	44	186	301	4	80	81	86	158	6	68	9	119	228	662
ENSMUSG00000046101	0	13	0	21	13	2	1	2	4	0	7	10	32	1	25	34	9	5	2	4	4	43	14	68
ENSMUSG00000093178	0	0	0	0	0	0	2	0	1	0	5	1	1	0	0	0	0	0	0	1	0	5	1	6
ENSMUSG00000073738	21	19	0	0	2	0	14	5	0	0	0	12	19	0	0	15	0	70	0	2	0	13	11	1
ENSMUSG00000025916	0	1	6	7	0	0	0	0	3	0	0	0	0	0	2	0	4	4	0	6	0	2	0	6
ENSMUSG00000087199	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025917	199	205	145	427	429	218	135	76	81	85	238	397	995	32	286	550	464	335	56	115	203	485	915	2219
ENSMUSG00000056763	74	48	36	86	200	23	71	21	40	2	56	107	225	8	62	270	42	204	9	52	12	137	111	382
ENSMUSG00000067851	119	225	91	382	1432	164	264	15	90	16	138	500	810	20	246	2081	334	609	15	141	48	563	474	1532
