Gene	S1	S2	S3	S4	S5	S6	S7	S8	S9
G1	45299.82326	41396.82438	39354.37252	18245.76392	28267.21898	31315.8951	28927.98126	29035.97619	23467.4357
G2	3809.141314	3316.413055	3256.980772	3480.3953	3968.434723	4259.840482	4117.964992	4146.151884	3429.435785
G3	15306.73365	16060.97116	15545.61577	17001.4964	16320.6605	15906.40337	17374.34277	15914.20716	15824.13122
G4	3285.66283	3665.457125	2929.009627	2884.914654	3180.019162	3554.749008	4154.105608	3426.251647	3523.39293
G5	24493.22416	23202.03707	22839.9971	17047.51289	19431.9225	20881.79663	20394.66564	19618.0885	18604.60719
G6	4887.284236	5524.388712	4842.715844	3758.772251	4130.014075	3294.262691	3983.72842	4052.53257	3655.588447
G7	7993.62784	7412.984102	7106.041465	6289.678901	7179.394612	7144.020298	8580.814716	7943.652532	7178.981377
G8	5363.983792	5146.669634	5094.918077	4132.827042	4497.86494	4902.16417	4981.209409	4915.551986	4317.658561
G9	20407.86442	18404.41151	16981.97784	10625.70745	15162.10217	17476.64418	17135.81471	16389.83632	13706.81789
G10	23892.89458	23132.82154	22818.34884	21860.56381	22161.58219	22503.29779	23603.9523	22322.28774	20353.73962
G11	69671.64496	76242.89251	80594.30851	128969.1711	129874.2745	124248.8345	112186.6661	105413.1945	104213.7689
G12	1975.852834	2112.062697	2023.029931	1958.66205	1993.957961	1876.756833	2193.219068	1989.679427	1946.879442
G13	2857.96977	2764.66634	2511.198202	1738.60302	2247.213541	2394.591077	2659.949303	2564.308315	2430.86799
G14	279.5597865	331.2457882	326.8887315	177.2318068	224.6067588	252.1172781	254.0168977	253.9558382	263.2985104
G15	4313.685471	3976.927045	4082.861905	2156.39625	2086.780142	2406.098504	2597.993962	2230.722257	2028.818813
G16	8582.819581	8117.005001	8318.344045	5299.64107	5536.098223	6290.378394	5886.789975	6066.961931	5045.28017
G17	33818.93768	31928.13881	31017.62745	21382.17461	22469.8435	24467.92953	21203.18284	21748.73494	18926.90205
G18	13297.4673	12471.65112	12972.72002	4780.247086	4736.223133	5136.497242	5153.651774	4636.846215	4263.032314
G19	4691.25825	4895.516111	4909.825451	3947.849886	3824.044664	4049.568396	3973.40253	4092.347681	3484.062032
G20	3913.837011	3874.092532	3839.318976	1902.166564	2367.53859	1989.73885	2410.062761	2171.537633	2151.181606
G21	6634.811348	6746.537352	6679.570735	5868.2408	6209.9185	6494.373702	5913.63729	6041.135913	5542.379018
G22	7405.549883	7174.684893	6670.911431	5111.930262	6208.772547	6817.627805	7267.361488	6430.678343	5931.317896
G23	11719.23535	11061.63174	10965.92629	10429.79568	10914.05495	11868.3424	11738.47192	10811.41655	10214.01566
G24	5714.825755	6088.000949	6162.177313	3217.509047	3442.442365	3915.663783	3389.989737	3025.948377	3561.631303
G25	398.7346756	405.405293	397.2455777	245.5731204	250.9636744	318.0234545	262.2776098	307.7600412	230.5227622
G26	2274.346948	2115.029077	2202.710492	597.3030814	737.9936361	786.6895979	725.9100776	637.0417636	748.3795835
G27	90.21650481	69.21553783	61.69754204	93.39979534	122.6169551	126.5817039	177.6053106	131.2822553	124.5478431
G28	96.89920887	99.86813315	77.93373731	57.86231223	103.1357566	82.64425297	86.73747727	94.69539729	62.27392155
G29	30157.92964	30618.97635	29975.26371	16477.54633	17574.33292	18327.14769	18808.60891	16411.358	15675.54783
G30	4886.170452	4716.544506	4766.946932	3670.839761	4764.871955	4734.783404	4643.552801	4674.509157	4206.221017
G31	4016.30514	3974.949458	3939.983386	2796.526555	3472.237139	3773.390133	3486.020515	3396.121294	3180.340099
G32	4750.288803	4784.771251	5055.951208	4521.461312	5033.024922	4706.5379	5113.380803	5067.279839	4857.365881
G33	12652.58635	11445.28358	11467.08351	7769.951755	9995.000767	10402.71458	10159.64332	9867.690831	8262.766117
G34	7178.337945	7287.40734	6886.311622	6534.796412	6874.571153	7161.804504	7092.853945	6828.829445	6374.883022
G35	18126.83476	16739.28343	16802.29728	9627.924269	12370.56103	13494.02809	12777.25647	13346.6706	10317.80553
G36	148.1332733	146.3414228	148.2905835	186.3439819	197.1038904	245.8404993	179.6704886	174.3256177	176.9890402
G37	21452.59382	20269.27586	19675.02143	14057.35261	14606.31504	15351.95459	14720.589	15333.12177	13453.3521
G38	32090.3449	32259.3846	31966.90367	39612.44783	46491.30717	47028.76446	49542.58836	46946.31929	43992.70174
G39	6490.019426	6573.498507	5952.189187	5852.750102	5626.628499	5952.478474	6008.635479	5502.017799	5315.13383
G40	6359.706697	6424.190704	6451.181589	5601.709676	5630.066357	5744.298646	6122.220271	5766.734478	5539.101443
G41	186.0019297	186.8819521	186.1750391	110.2573194	166.1631634	157.9655975	171.4097765	176.4777859	167.1563157
G42	5027.621021	4782.793664	4797.254497	3415.698857	4199.917199	4372.822499	3964.109229	3925.554651	3382.457213
G43	464.4479322	516.1501535	549.8658133	341.7065683	493.9056788	580.6020304	542.1092329	474.5530705	549.5400445
G44	5088.879142	5622.279259	5386.087179	3765.150774	3964.996865	3910.433134	3502.541939	3283.132467	2732.404874
G45	12171.43166	11252.46886	11303.63915	9964.619141	10024.79554	11042.946	11675.48399	10887.81852	9897.183427
G46	15246.58931	14763.67422	13544.2341	11523.2567	12975.62413	13359.07735	12922.85152	13228.30135	10935.08212
G47	18224.84776	17817.06823	20106.90423	12247.21902	11905.30417	12419.6528	11366.73988	10394.97202	9445.970627
G48	25305.17271	23449.23542	23330.33019	11067.19233	14528.39025	15332.07812	14931.23716	14619.67804	12456.96936
G49	8401.272788	8514.499946	7526.017716	5837.715013	6193.87516	6432.652045	6737.643324	5836.679942	6078.808763
G50	10707.91947	10053.06247	10508.06558	4213.9254	5580.790385	6005.831093	7304.534693	5287.877071	4870.47618
G51	11346.11771	10604.80919	10685.58132	9267.99335	9622.56609	9562.67236	9598.947485	9805.277956	7996.190032
G52	8864.606936	8431.441301	8165.723809	4875.924925	6679.759169	7356.384644	7612.246219	7140.893823	5984.851618
G53	3513.988552	3476.597586	3205.024947	2110.835375	1887.384346	2074.475363	2072.406153	1805.669053	2112.943233
